,correlation,abs_correlation
DETAILED RACE: Population of one race: Total population -- (Margin of Error),0.13176177564946148,0.13176177564946148
NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races -- (Estimate),0.1198496686553281,0.1198496686553281
NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races -- (Margin of Error),0.10808969527914228,0.10808969527914228
RACE: Two or more races: Two races including Some other race: Total population -- (Estimate),0.10417881690455187,0.10417881690455187
DETAILED RACE: Population of two or more races: Some other race: Two races including Some other race: Total population -- (Estimate),0.10417881690455187,0.10417881690455187
BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Black or African American alone or in combination with one or more other races -- (Margin of Error),0.10249761592939646,0.10249761592939646
DETAILED RACE: Population of two or more races: Population of two races: White; American Indian and Alaska Native: Total population -- (Margin of Error),0.09379289717895463,0.09379289717895463
DETAILED RACE: Population of two or more races: Some other race: Two races including Some other race: Total population -- (Margin of Error),0.09156542119097422,0.09156542119097422
RACE: Two or more races: Two races including Some other race: Total population -- (Margin of Error),0.09156542119097422,0.09156542119097422
DETAILED RACE: Population of two or more races: Population of two races: White; American Indian and Alaska Native: Total population -- (Estimate),0.08981507022067478,0.08981507022067478
BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Black or African American alone or in combination with one or more other races -- (Estimate),0.07703008554705032,0.07703008554705032
DETAILED RACE: Population of one race: Black or African American: Total population -- (Margin of Error),0.07170073050135062,0.07170073050135062
RACE: Black or African American alone: Total population -- (Margin of Error),0.07170073050135062,0.07170073050135062
AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: People who are American Indian or Alaska Native alone or in combination with one or more other races -- (Margin of Error),0.06110022789975384,0.06110022789975384
AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: People who are American Indian or Alaska Native alone or in combination with one or more other races -- (Estimate),0.059126068680139615,0.059126068680139615
OBJECTID,0.054891048248160754,0.054891048248160754
RACE: Black or African American alone: Total population -- (Estimate),0.04902215232673769,0.04902215232673769
DETAILED RACE: Population of one race: Black or African American: Total population -- (Estimate),0.04902215232673769,0.04902215232673769
DETAILED RACE: Population of two or more races: Population of two races: Black or African American; American Indian and Alaska Native: Total population -- (Margin of Error),0.046785109067464754,0.046785109067464754
DETAILED RACE: Population of two or more races: Population of four or more races: Total population -- (Margin of Error),0.04535717608538566,0.04535717608538566
DETAILED RACE: Population of one race: Native Hawaiian and Other Pacific Islander: Total population -- (Estimate),0.04441160820009994,0.04441160820009994
RACE: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate),0.04441160820009994,0.04441160820009994
DETAILED RACE: Population of one race: Native Hawaiian and Other Pacific Islander: Total population -- (Margin of Error),0.0434234485305074,0.0434234485305074
RACE: Native Hawaiian and Other Pacific Islander alone: Total population -- (Margin of Error),0.0434234485305074,0.0434234485305074
DETAILED RACE: Population of two or more races: Population of two races: Black or African American; American Indian and Alaska Native: Total population -- (Estimate),0.03503115948699594,0.03503115948699594
DETAILED RACE: Population of two or more races: Population of four or more races: Total population -- (Estimate),0.021322794215539887,0.021322794215539887
RACE: American Indian and Alaska Native alone: Total population -- (Margin of Error),-0.009858973099112676,0.009858973099112676
DETAILED RACE: Population of one race: American Indian and Alaska Native: Total population -- (Margin of Error),-0.009858973099112676,0.009858973099112676
DETAILED RACE: Population of one race: American Indian and Alaska Native: Total population -- (Estimate),-0.018728550442119445,0.018728550442119445
RACE: American Indian and Alaska Native alone: Total population -- (Estimate),-0.018728550442119445,0.018728550442119445
SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Some other race alone or in combination with one or more other races -- (Estimate),-0.1757246832626542,0.1757246832626542
SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Some other race alone or in combination with one or more other races -- (Margin of Error),-0.17676972425616466,0.17676972425616466
RACE: Some other race alone: Total population -- (Estimate),-0.1934752403266964,0.1934752403266964
DETAILED RACE: Population of one race: Some other race: Total population -- (Estimate),-0.1934752403266964,0.1934752403266964
DETAILED RACE: Population of one race: Some other race: Total population -- (Margin of Error),-0.1982107997470217,0.1982107997470217
RACE: Some other race alone: Total population -- (Margin of Error),-0.1982107997470217,0.1982107997470217
